BR1800360305000010009795493C1	78197959Y	€	4.19
BA391290079401028494	53041404T	£	56.71
DK5000400440116243	14520137F	£	52.88
KW81CBKU0000000000001234560101	64845593Z	€	39.56
IT60X0542811101000000123456	35042182A	$	99.18
NO9386011117947	47795066P	£	9.25
BY13NBRB3600900000002Z00AB00	00604067H	$	29.93
NL91ABNA0417164300	12032051S	$	1.93
SC18SSCB11010000000000001497USD	47607244G	€	1.93
NO9386011117947	47795066P	£	99.87
MD24AG000225100013104168	97764560R	$	35.94
MC5811222000010123456789030	98323948Y	€	24.36
GB29NWBK60161331926819	60264262F	€	1.79
PS92PALS000000000400123456702	78041934J	€	25.45
TN5910006035183598478831	83694400E	€	0.72
DK5000400440116243	14520137F	£	80.38
CH9300762011623852957	47530724M	£	31.47
LV80BANK0000435195001	49610933W	£	2.67
LC55HEMM000100010012001200023015	65992999L	€	66.90
ST68000200010192194210112	25942334J	£	64.05
TR330006100519786457841326	44133866V	$	67.99
SA0380000000608010167519	70500969N	£	76.96
AL47212110090000000235698741	77260122V	£	72.68
XK051212012345678906	08674012E	$	81.16
PL61109010140000071219812874	96044731C	$	78.43
RS35260005601001611379	03995637P	$	94.35
